epsilon;ACC_RF;FAIR_RF;ACC_GB;FAIR_GB;ACC_ADA;FAIR_ADA;ACC_DT;FAIR_DT;ACC_RUXRF;FAIR_RUXRF;ACC_RUXADA;FAIR_RUXADA;ACC_RUXGB;FAIR_RUXGB;ACC_RUG;FAIR_RUG
0;0.7411;0.6488;0.7518;0.7098;0.7462;0.7402;0.7325;0.8715;0.7286;0.9337;0.7310;0.9491;0.7283;0.9719;0.7238;0.9262
0.01;0.7411;0.6488;0.7518;0.7098;0.7462;0.7402;0.7325;0.8715;0.7321;0.9425;0.7294;0.9536;0.7303;0.9678;0.7220;0.9148
0.025;0.7411;0.6488;0.7518;0.7098;0.7462;0.7402;0.7325;0.8715;0.7326;0.9385;0.7298;0.9537;0.7317;0.9523;0.7272;0.898
0.04;0.7411;0.6488;0.7518;0.7098;0.7462;0.7402;0.7325;0.8715;0.7361;0.9306;0.7312;0.9576;0.7327;0.9527;0.7303;0.8995
0.05;0.7411;0.6488;0.7518;0.7098;0.7462;0.7402;0.7325;0.8715;0.7355;0.9385;0.7333;0.9578;0.7328;0.9479;0.7257;0.9084
0.065;0.7411;0.6488;0.7518;0.7098;0.7462;0.7402;0.7325;0.8715;0.7347;0.9377;0.7340;0.9511;0.7355;0.9483;0.7264;0.8912
0.08;0.7411;0.6488;0.7518;0.7098;0.7462;0.7402;0.7325;0.8715;0.7381;0.9260;0.7321;0.9406;0.7376;0.9514;0.7279;0.8846
0.1;0.7411;0.6488;0.7518;0.7098;0.7462;0.7402;0.7325;0.8715;0.7403;0.9321;0.7332;0.9391;0.7377;0.9487;0.7296;0.8859
0.2;0.7411;0.6488;0.7518;0.7098;0.7462;0.7402;0.7325;0.8715;0.7440;0.8847;0.7342;0.8956;0.7415;0.9003;0.7349;0.8708
0.3;0.7411;0.6488;0.7518;0.7098;0.7462;0.7402;0.7325;0.8715;0.7477;0.8598;0.7395;0.8465;0.7417;0.8403;0.7386;0.8710
0.4;0.7411;0.6488;0.7518;0.7098;0.7462;0.7402;0.7325;0.8715;0.7454;0.8216;0.7417;0.8289;0.7418;0.8087;0.7382;0.8280
0.5;0.7411;0.6488;0.7518;0.7098;0.7462;0.7402;0.7325;0.8715;0.7427;0.7697;0.7415;0.8267;0.7400;0.7523;0.7420;0.7752
0.6;0.7411;0.6488;0.7518;0.7098;0.7462;0.7402;0.7325;0.8715;0.7435;0.7600;0.7418;0.8279;0.7399;0.7470;0.7412;0.7463
0.7;0.7411;0.6488;0.7518;0.7098;0.7462;0.7402;0.7325;0.8715;0.7443;0.7632;0.7434;0.8307;0.7401;0.7465;0.7399;0.7690
0.8;0.7411;0.6488;0.7518;0.7098;0.7462;0.7402;0.7325;0.8715;0.7439;0.7604;0.7424;0.8279;0.7401;0.7465;0.7361;0.7797
1;0.7411;0.6488;0.7518;0.7098;0.7462;0.7402;0.7325;0.8715;0.7439;0.7622;0.7417;0.8268;0.7410;0.7479;0.7396;0.7603
