epsilon;ACC_RF;FAIR_RF;ACC_ADA;FAIR_ADA;ACC_GB;FAIR_GB;ACC_DT;FAIR_DT;ACC_RUXRF;FAIR_RUXRF;ACC_RUXADA;FAIR_RUXADA;ACC_RUXGB;FAIR_RUXGB;ACC_RUG;FAIR_RUG
0;0.7411;0.9457;0.7462;0.9439;0.7518;0.9506;0.7325;0.9568;0.7134;0.9712;0.7310;0.9631;0.7263;0.9605;0.7286;0.9608
0.01;0.7411;0.9457;0.7462;0.9439;0.7518;0.9506;0.7325;0.9568;0.7328;0.9638;0.7310;0.9625;0.7263;0.9605;0.7315;0.9628
0.025;0.7411;0.9457;0.7462;0.9439;0.7518;0.9506;0.7325;0.9568;0.7321;0.9647;0.7322;0.9601;0.7312;0.9507;0.7348;0.9619
0.04;0.7411;0.9457;0.7462;0.9439;0.7518;0.9506;0.7325;0.9568;0.7312;0.9661;0.7328;0.9592;0.7299;0.9496;0.7380;0.9584
0.05;0.7411;0.9457;0.7462;0.9439;0.7518;0.9506;0.7325;0.9568;0.7229;0.9628;0.7338;0.9589;0.7309;0.9496;0.7293;0.9627
0.065;0.7411;0.9457;0.7462;0.9439;0.7518;0.9506;0.7325;0.9568;0.7366;0.9579;0.7382;0.9527;0.7356;0.9465;0.7395;0.9551
0.08;0.7411;0.9457;0.7462;0.9439;0.7518;0.9506;0.7325;0.9568;0.7416;0.9590;0.7407;0.9590;0.7369;0.9483;0.7391;0.9509
0.1;0.7411;0.9457;0.7462;0.9439;0.7518;0.9506;0.7325;0.9568;0.7452;0.9470;0.7412;0.9492;0.7412;0.9521;0.7376;0.9454
0.2;0.7411;0.9457;0.7462;0.9439;0.7518;0.9506;0.7325;0.9568;0.7441;0.9416;0.7421;0.9473;0.7406;0.9487;0.7365;0.9497
0.3;0.7411;0.9457;0.7462;0.9439;0.7518;0.9506;0.7325;0.9568;0.7441;0.9416;0.7423;0.9470;0.7410;0.9480;0.7415;0.9526
0.4;0.7411;0.9457;0.7462;0.9439;0.7518;0.9506;0.7325;0.9568;0.7441;0.9416;0.7421;0.9473;0.7410;0.9480;0.7406;0.9648
0.5;0.7411;0.9457;0.7462;0.9439;0.7518;0.9506;0.7325;0.9568;0.7441;0.9416;0.7423;0.9470;0.7410;0.9480;0.7435;0.9569
0.6;0.7411;0.9457;0.7462;0.9439;0.7518;0.9506;0.7325;0.9568;0.7441;0.9416;0.7423;0.9470;0.7410;0.9480;0.7403;0.9470
0.7;0.7411;0.9457;0.7462;0.9439;0.7518;0.9506;0.7325;0.9568;0.7441;0.9416;0.7423;0.9470;0.7410;0.9480;0.7418;0.9561
0.8;0.7411;0.9457;0.7462;0.9439;0.7518;0.9506;0.7325;0.9568;0.7440;0.9433;0.7423;0.9470;0.7410;0.9480;0.7391;0.9568
1;0.7411;0.9457;0.7462;0.9439;0.7518;0.9506;0.7325;0.9568;0.7440;0.9433;0.7423;0.9470;0.7410;0.9480;0.7411;0.9509
